-0.152233, -0.012562, 0.002970, 0.000000
-0.030056, -0.012199, 0.002970, 0.772665
0.959404, -0.009261, 0.002970, 1.069269
2.019962, -0.006111, 0.002970, 1.071774
3.102465, -0.002897, 0.002970, 1.071794
4.163537, 0.000254, 0.002970, 1.071794
5.235327, 0.003437, 0.002970, 1.071794
6.307116, 0.006620, 0.002970, 1.071794
7.378906, 0.009803, 0.002970, 1.071794
8.450696, 0.012986, 0.002970, 1.071794
9.450619, 0.317723, 0.640072, 1.071794
9.852004, 1.291292, 1.317664, 1.071794
9.854812, 2.345490, 1.615991, 1.071794
9.875316, 3.425829, 1.513119, 1.071794
9.915500, 4.507274, 1.550153, 1.071794
9.937624, 5.578840, 1.550153, 1.071794
9.959527, 6.639690, 1.550153, 1.071794
9.887198, 7.709038, 1.854982, 1.071794
9.084557, 8.338735, 2.822392, 1.071794
8.016381, 8.419976, 3.060303, 1.071794
6.926761, 8.508746, 3.060303, 1.071794
5.890554, 8.593165, 3.060303, 1.071794
4.822298, 8.680195, 3.060303, 1.071794
3.742779, 8.623701, -3.080920, 1.071794
2.683425, 8.565481, -3.107122, 1.071794
1.612238, 8.529432, -3.107667, 1.071794
0.530349, 8.492714, -3.107667, 1.071794
-0.530400, 8.473812, -3.133384, 1.071794
-1.601709, 8.493401, 3.107732, 1.071794
-2.670075, 8.575105, 3.050016, 1.071794
-3.739484, 8.638068, 3.100423, 1.071794
-4.800249, 8.630964, -3.132356, 1.071794
-5.882715, 8.620965, -3.132356, 1.071794
-6.954464, 8.611065, -3.132356, 1.071794
-8.015495, 8.601264, -3.132356, 1.071794
-9.097961, 8.591265, -3.132356, 1.071794
-10.169710, 8.581365, -3.132356, 1.071794
-11.252176, 8.571366, -3.132356, 1.071794
-12.302490, 8.561664, -3.132356, 1.071794
-13.332908, 8.334749, -2.612526, 1.071794
-13.778098, 7.406140, -1.778574, 1.071794
-13.828127, 6.343326, -1.538880, 1.071794
-13.809637, 5.271856, -1.564598, 1.071794
-13.817461, 4.200148, -1.581057, 1.071794
-13.828348, 3.139127, -1.581057, 1.071794
-13.839566, 2.045955, -1.581057, 1.071794
-13.850343, 0.995651, -1.581057, 1.071794
-13.630251, -0.034534, -1.041682, 1.071794
-12.688169, -0.450223, -0.065891, 1.071794
-11.606202, -0.479291, -0.031816, 1.071794
-10.556399, -0.482451, 0.018591, 1.071794
-9.465564, -0.413116, 0.070026, 1.071794
-8.407088, -0.338873, 0.070026, 1.071794
-7.337613, -0.272486, 0.033133, 1.071794
-6.255685, -0.236902, 0.032993, 1.071794
-5.184219, -0.211457, 0.019619, 1.071794
-4.101811, -0.198060, 0.010361, 1.071794
-3.051509, -0.187177, 0.010361, 1.071794
-1.958337, -0.175851, 0.010361, 1.071794
-0.886600, -0.164746, 0.010361, 1.071794
